Column1,Name,Overall,Position,Potential,Value,Release Clause,,
1,Cristiano Ronaldo,94,ST,94,77,127.1,,
0,L. Messi,94,RF,94,110.5,226.5,,
2,Neymar Jr,92,LW,93,118.5,228.1,,
5,E. Hazard,91,LF,91,93,172.1,,
8,Sergio Ramos,91,RCB,91,51,104.6,,
6,L. Modri?,91,RCM,91,67,137.4,,
3,De Gea,91,GK,93,72,138.6,,
10,R. Lewandowski,90,ST,90,77,127.1,,
12,D. Godín,90,CB,90,44,90.2,,
13,David Silva,90,LCM,90,60,111,,
24,G. Chiellini,89,LCB,89,27,44.6,,
20,Sergio Busquets,89,CDM,89,51.5,105.6,,
31,C. Eriksen,88,CAM,91,73.5,141.5,,
50,D. Mertens,87,RF,87,45,76.5,,
52,M. Hamšík,87,LCM,87,46.5,79.1,,
98,E. Džeko,85,ST,85,30.5,51.9,,
80,N. Fekir,85,CAM,89,50,98.8,,
90,Parejo,85,RCM,85,37,77.7,,
145,Jonas,84,ST,84,16.5,33,,
,,,,,,,,
